iter	Logloss
0	0.6847626527
1	0.6757581876
2	0.668386252
3	0.6604177055
4	0.6531165224
5	0.6469224227
6	0.6405697725
7	0.6347467009
8	0.6285223956
9	0.6218280015
10	0.6160454225
11	0.6116478281
12	0.6062001672
13	0.6013596033
14	0.5970092775
15	0.5918641214
16	0.5860895611
17	0.5810753346
18	0.5782425927
19	0.5751239677
20	0.5712964314
21	0.5673025205
22	0.5649315152
23	0.5617869461
24	0.5595229105
25	0.5572143126
26	0.5548273792
27	0.552039131
28	0.5500190736
29	0.5483183319
30	0.5459730091
31	0.5433608751
32	0.5418259375
33	0.5400709257
34	0.5375564616
35	0.5351815877
36	0.5329498013
37	0.5318317463
38	0.5301822669
39	0.5292303568
40	0.5281719837
41	0.5265933315
42	0.525055343
43	0.5236259159
44	0.5223897426
45	0.5200929452
46	0.5183212879
47	0.5168984625
48	0.5155683753
49	0.5140995477
50	0.5127703464
51	0.5117998625
52	0.5108139999
53	0.5096622361
54	0.5087145176
55	0.5080457426
56	0.5071019197
57	0.5056900747
58	0.50414729
59	0.5029563138
60	0.5022921362
61	0.501404183
62	0.5010070117
63	0.5006128094
64	0.4991827268
65	0.4977990448
66	0.4967140108
67	0.4961497744
68	0.495549544
69	0.4945725386
70	0.4937993587
71	0.4927760125
72	0.4917365929
73	0.4909062276
74	0.4903462143
75	0.4897709283
76	0.4890680726
77	0.4885898508
78	0.488379478
79	0.4877610703
80	0.4868162795
81	0.486286109
82	0.4856442082
83	0.4850724538
84	0.4843473053
85	0.4838126631
86	0.4831570869
87	0.4824279079
88	0.4817436426
89	0.4811228299
90	0.4804001302
91	0.4797755164
92	0.4793937364
93	0.478902493
94	0.4784148432
95	0.4779268755
96	0.4777264936
97	0.4769567303
98	0.4764913853
99	0.4758150341
100	0.4753015306
101	0.4750227039
102	0.474087266
103	0.4737181586
104	0.4732533356
105	0.4729348385
106	0.4726726019
107	0.4721025242
108	0.4716244267
109	0.4710455162
110	0.4706828753
111	0.4703341751
112	0.4700117621
113	0.4693840596
114	0.4687483322
115	0.4681825679
116	0.4679273732
117	0.4671637583
118	0.4668419139
119	0.4662000135
120	0.4657373746
121	0.4654948197
122	0.4647632099
123	0.4642249014
124	0.4638547175
125	0.4631660892
126	0.462580614
127	0.4622811688
128	0.461593526
129	0.4613591879
130	0.4610479677
131	0.4605804812
132	0.4601840721
133	0.4594611728
134	0.4590681515
135	0.4585450113
136	0.4580636034
137	0.4576653396
138	0.4572467757
139	0.4568235378
140	0.4566169592
141	0.4562805315
142	0.4560092325
143	0.4556784171
144	0.4554046167
145	0.454668918
146	0.4542906317
147	0.4537476026
148	0.4534046947
149	0.4533054405
150	0.4529935332
151	0.4526534506
152	0.4522289114
153	0.4517932092
154	0.451380755
155	0.4507885048
156	0.450315109
157	0.4496579382
158	0.4493140868
159	0.4489247888
160	0.448477819
161	0.4482800169
162	0.4478387573
163	0.4471212426
164	0.4466675571
165	0.4463501078
166	0.4461539938
167	0.4458452475
168	0.4455023299
169	0.4453196061
170	0.4449075938
171	0.4445631366
172	0.444210139
173	0.4437938287
174	0.4432279968
175	0.4429141305
176	0.442667482
177	0.442280432
178	0.4418216645
179	0.441396747
180	0.4411594549
181	0.4408120797
182	0.4405055333
183	0.440153163
184	0.4397178058
185	0.4394973165
186	0.4391838289
187	0.4388677939
188	0.4385947342
189	0.4380095026
190	0.4376663292
191	0.4372977272
192	0.4367780889
193	0.4365888499
194	0.4363652183
195	0.4357563284
196	0.4354566688
197	0.4352914372
198	0.4346434984
199	0.4342451046
200	0.4335617262
201	0.4331291463
202	0.4329637053
203	0.432582636
204	0.4322828343
205	0.4318612372
206	0.4313774747
207	0.4309873356
208	0.4307490983
209	0.4302115673
210	0.4296731679
211	0.4292639122
212	0.4287073015
213	0.4284549671
214	0.4281480726
215	0.4276831411
216	0.4274381352
217	0.4270284257
218	0.4266266957
219	0.4262641908
220	0.4259575844
221	0.425612334
222	0.4251711588
223	0.4249030838
224	0.4245728423
225	0.4243001245
226	0.4237554986
227	0.4234469153
228	0.4230769801
229	0.4227873704
230	0.422508504
231	0.4221008866
232	0.4217044571
233	0.4213136756
234	0.4207130138
235	0.4204312905
236	0.4201195732
237	0.419561368
238	0.4193237035
239	0.4191563401
240	0.4187052041
241	0.4184472452
242	0.4179452715
243	0.4174363901
244	0.4171336604
245	0.4163942307
246	0.4160403047
247	0.4155817409
248	0.4153283608
249	0.4142999983
250	0.4140391457
251	0.4138524929
252	0.4135380627
253	0.4131633427
254	0.4123718411
255	0.4121299968
256	0.4116154496
257	0.4112989269
258	0.4109851861
259	0.4106045644
260	0.4102801719
261	0.4099949644
262	0.409440122
263	0.409025389
264	0.4085941049
265	0.4082064219
266	0.4075218148
267	0.4072512196
268	0.4066707062
269	0.4064053986
270	0.4061142742
271	0.4057055108
272	0.4051174698
273	0.4046152085
274	0.4043351707
275	0.4040675727
276	0.4035685552
277	0.4029609761
278	0.4026400578
279	0.4023266526
280	0.4015478225
281	0.4009106831
282	0.4005755522
283	0.4003117296
284	0.4000422375
285	0.3996823211
286	0.3993707271
287	0.3988676605
288	0.3985536454
289	0.3981079369
290	0.3977942717
291	0.3975003768
292	0.3973271789
293	0.3965978608
294	0.3961363142
295	0.3948003583
296	0.3945251055
297	0.3938398114
298	0.3933885669
299	0.3929513962
300	0.3927293585
301	0.3924882279
302	0.3921586193
303	0.3917080793
304	0.3913014034
305	0.3910484282
306	0.3907651655
307	0.3904226832
308	0.3898294756
309	0.3895712465
310	0.389306466
311	0.3890293488
312	0.3887887417
313	0.3880732958
314	0.3878247827
315	0.3875221808
316	0.3872411257
317	0.3870005542
318	0.3864309777
319	0.3857780232
320	0.3851023123
321	0.3843376598
322	0.3835685023
323	0.3830639222
324	0.3828308959
325	0.3821921345
326	0.3819429428
327	0.3816298619
328	0.3813148505
329	0.3811087622
330	0.3810121341
331	0.3802869379
332	0.3793951552
333	0.3792024758
334	0.3783781653
335	0.3779565375
336	0.3777698965
337	0.3775326472
338	0.3768801946
339	0.3766585405
340	0.3758902205
