iter	Passed	Remaining
0	43	43689
1	90	45280
2	133	44447
3	175	43699
4	223	44441
5	271	44984
6	311	44193
7	360	44744
8	414	45663
9	505	50021
10	546	49097
11	595	49049
12	642	48773
13	681	48012
14	723	47491
15	779	47960
16	820	47452
17	861	47001
18	915	47293
19	956	46891
20	1009	47082
21	1055	46921
22	1102	46834
23	1142	46454
24	1182	46117
25	1225	45895
26	1274	45914
27	1319	45795
28	1364	45674
29	1411	45629
30	1459	45611
31	1506	45570
32	1593	46680
33	1635	46461
34	1687	46528
35	1728	46293
36	1768	46039
37	1804	45683
38	1840	45361
39	1885	45247
40	1931	45166
41	1970	44951
42	2008	44711
43	2054	44642
44	2101	44594
45	2146	44524
46	2187	44347
47	2224	44112
48	2262	43902
49	2298	43680
50	2335	43451
51	2376	43324
52	2422	43283
53	2458	43076
54	2499	42952
55	2546	42933
56	2586	42787
57	2671	43382
58	2712	43259
59	2752	43124
60	2791	42963
61	2847	43082
62	2896	43085
63	2938	42972
64	2977	42833
65	3026	42823
66	3063	42661
67	3100	42489
68	3136	42318
69	3171	42139
70	3223	42178
71	3262	42049
72	3301	41925
73	3340	41802
74	3376	41644
75	3413	41501
76	3450	41357
77	3504	41424
78	3547	41361
79	3585	41237
80	3624	41122
81	3666	41048
82	3746	41394
83	3787	41301
84	3826	41190
85	3876	41203
86	3915	41091
87	3953	40972
88	3991	40853
89	4043	40881
90	4079	40751
91	4119	40654
92	4163	40602
93	4209	40574
94	4257	40553
95	4294	40435
96	4330	40313
97	4379	40305
98	4415	40183
99	4452	40070
100	4504	40095
101	4542	39992
102	4579	39885
103	4677	40301
104	4818	41071
105	4887	41223
106	4946	41284
107	4988	41198
108	5030	41116
109	5067	40999
110	5104	40880
111	5154	40865
112	5198	40808
113	5245	40770
114	5294	40744
115	5332	40634
116	5369	40524
117	5406	40412
118	5447	40329
119	5484	40217
120	5519	40099
121	5559	40007
122	5596	39904
123	5633	39800
124	5679	39755
125	5716	39650
126	5754	39555
127	5801	39524
128	5960	40242
129	6055	40527
130	6096	40442
131	6138	40366
132	6190	40354
133	6234	40292
134	6272	40190
135	6310	40087
136	6358	40054
137	6405	40009
138	6441	39902
139	6477	39793
140	6515	39693
141	6559	39631
142	6600	39554
143	6642	39487
144	6687	39432
145	6730	39369
146	6776	39323
147	6826	39299
148	6872	39253
149	6923	39233
150	6970	39191
151	7028	39211
152	7155	39612
153	7198	39545
154	7258	39568
155	7309	39546
156	7361	39528
157	7420	39543
158	7505	39698
159	7561	39697
160	7627	39747
161	7679	39725
162	7720	39643
163	7767	39593
164	7828	39616
165	7873	39559
166	7920	39506
167	7966	39451
168	8012	39398
169	8058	39344
170	8104	39291
171	8169	39325
172	8266	39515
173	8309	39446
174	8354	39386
175	8394	39301
176	8445	39271
177	8483	39177
178	8552	39226
179	8598	39172
180	8644	39115
181	8685	39035
182	8735	38997
183	8774	38911
184	8828	38893
185	8870	38819
186	8920	38783
187	8966	38726
188	9004	38636
189	9073	38680
190	9118	38623
191	9165	38569
192	9206	38493
193	9311	38687
194	9368	38675
195	9413	38616
196	9454	38535
197	9499	38478
198	9537	38388
199	9578	38314
200	9625	38262
201	9671	38206
202	9717	38151
203	9757	38074
204	9795	37988
205	9839	37926
206	9876	37834
207	9913	37747
208	9938	37614
209	9977	37533
210	10022	37477
211	10059	37392
212	10100	37319
213	10135	37227
214	10175	37153
215	10212	37069
216	10255	37006
217	10293	36922
218	10388	37047
219	10444	37029
220	10489	36974
221	10532	36912
222	10576	36850
223	10613	36767
224	10653	36695
225	10690	36612
226	10726	36526
227	10774	36483
228	10820	36429
229	10857	36347
230	10894	36267
231	10931	36186
232	10975	36130
233	11022	36080
234	11067	36027
235	11114	35979
236	11150	35899
237	11186	35815
238	11236	35779
239	11284	35734
240	11328	35677
241	11376	35632
242	11600	36138
243	11642	36072
244	11688	36019
245	11733	35963
246	11772	35890
247	11815	35828
248	11852	35747
249	11896	35689
250	11943	35640
251	11981	35562
252	12020	35492
253	12065	35436
254	12114	35392
255	12158	35335
256	12203	35280
257	12240	35202
258	12277	35126
259	12313	35046
260	12350	34969
261	12387	34892
262	12434	34844
263	12480	34793
264	12516	34715
265	12553	34639
266	12589	34563
267	12688	34657
268	12729	34591
269	12777	34546
270	12822	34492
271	12858	34416
272	12894	34339
273	12942	34293
274	12977	34214
275	13018	34151
276	13068	34110
277	13106	34039
278	13158	34003
279	13203	33952
280	13251	33906
281	13289	33836
282	13327	33766
283	13374	33718
284	13418	33664
285	13465	33617
286	13512	33568
287	13558	33519
288	13603	33466
289	13639	33392
290	13677	33324
291	13767	33382
292	13826	33363
293	13867	33300
294	13907	33237
295	13944	33165
296	13982	33095
297	14019	33026
298	14065	32975
299	14112	32929
300	14155	32873
301	14207	32837
302	14252	32784
303	14292	32722
304	14345	32689
305	14388	32632
306	14437	32590
307	14482	32538
308	14523	32477
309	14564	32416
310	14609	32367
311	14655	32318
312	14712	32293
313	14753	32232
314	14852	32298
315	14895	32241
316	14947	32204
317	14988	32145
318	15036	32099
319	15082	32049
320	15128	32000
321	15174	31950
322	15219	31899
323	15267	31853
324	15311	31800
325	15357	31752
326	15404	31704
327	15446	31645
328	15499	31610
329	15538	31548
330	15580	31490
331	15637	31462
332	15676	31399
333	15716	31339
334	15756	31278
335	15806	31236
336	15862	31206
337	15959	31258
338	16007	31212
339	16056	31168
340	16097	31109
341	16152	31076
342	16219	31066
343	16273	31032
344	16328	31000
345	16374	30951
346	16420	30900
347	16467	30853
348	16511	30800
349	16557	30749
350	16616	30724
351	16663	30676
352	16709	30627
353	16747	30560
354	16784	30495
355	16831	30448
356	16877	30397
357	16924	30350
358	17097	30527
359	17174	30533
360	17219	30479
361	17264	30428
362	17305	30368
363	17346	30309
364	17384	30243
365	17420	30176
366	17461	30118
367	17499	30052
368	17538	29991
369	17583	29938
370	17628	29888
371	17675	29839
372	17711	29773
373	17750	29710
374	17796	29660
375	17844	29613
376	17943	29652
377	18008	29633
378	18045	29568
379	18089	29515
380	18138	29468
381	18228	29489
382	18277	29444
383	18319	29387
384	18369	29342
385	18407	29280
386	18458	29237
387	18495	29172
388	18531	29107
389	18567	29041
390	18604	28977
391	18641	28913
392	18678	28849
393	18719	28791
394	18756	28727
395	18792	28663
396	18842	28619
397	18888	28569
398	18922	28502
399	18960	28440
400	19011	28398
401	19047	28334
402	19089	28279
403	19128	28218
404	19164	28155
405	19201	28093
406	19242	28035
407	19337	28058
408	19379	28003
409	19421	27947
410	19486	27926
411	19523	27863
412	19561	27802
413	19597	27739
414	19645	27693
415	19689	27640
416	19733	27589
417	19781	27543
418	19818	27481
419	19859	27424
420	19904	27374
421	19940	27312
422	19977	27250
423	20014	27190
424	20051	27128
425	20089	27069
426	20127	27009
427	20164	26948
428	20261	26968
429	20305	26916
430	20396	26927
431	20437	26870
432	20496	26839
433	20548	26798
434	20600	26756
435	20649	26711
436	20700	26668
437	20767	26646
438	20828	26616
439	20875	26568
440	20922	26520
441	20962	26463
442	20999	26402
443	21045	26354
444	21091	26305
445	21129	26245
446	21165	26184
447	21213	26138
448	21259	26088
449	21296	26028
450	21331	25967
451	21380	25921
452	21473	25929
453	21527	25889
454	21568	25834
455	21618	25790
456	21663	25740
457	21706	25688
458	21746	25631
459	21799	25590
460	21845	25541
461	21891	25493
462	21938	25444
463	21984	25396
464	22031	25348
465	22075	25296
466	22120	25246
467	22167	25199
468	22214	25151
469	22255	25096
470	22307	25054
471	22352	25004
472	22391	24948
473	22441	24903
474	22484	24851
475	22708	24998
476	22754	24948
477	22799	24898
478	22841	24844
479	22884	24791
480	22923	24734
481	22962	24677
482	23002	24621
483	23042	24565
484	23091	24519
485	23135	24468
486	23181	24418
487	23227	24370
488	23273	24320
489	23318	24270
490	23361	24218
491	23410	24171
492	23457	24123
493	23497	24068
494	23547	24022
495	23586	23967
496	23639	23924
497	23687	23877
498	23789	23884
499	23841	23841
500	23887	23792
501	23930	23740
502	23970	23684
503	24020	23639
504	24057	23581
505	24101	23529
506	24144	23477
507	24180	23418
508	24217	23360
509	24266	23314
510	24303	23256
511	24369	23227
512	24417	23179
513	24473	23140
514	24513	23085
515	24559	23036
516	24596	22978
517	24635	22923
518	24673	22866
519	24711	22810
520	24749	22754
521	24849	22755
522	24891	22702
523	24937	22652
524	24990	22610
525	25028	22554
526	25066	22497
527	25112	22449
528	25157	22399
529	25194	22342
530	25233	22287
531	25269	22229
532	25310	22176
533	25359	22129
534	25404	22080
535	25442	22024
536	25479	21968
537	25525	21919
538	25561	21862
539	25599	21806
540	25638	21752
541	25674	21695
542	25724	21649
543	25760	21593
544	25798	21537
545	25835	21482
546	25913	21460
547	25975	21424
548	26016	21372
549	26072	21332
550	26111	21277
551	26149	21222
552	26186	21166
553	26224	21112
554	26261	21056
555	26298	21001
556	26339	20948
557	26387	20902
558	26425	20847
559	26462	20791
560	26498	20736
561	26539	20684
562	26575	20628
563	26617	20576
564	26663	20528
565	26710	20481
566	26755	20432
567	26802	20384
568	26848	20337
569	26893	20288
570	26939	20239
571	27039	20232
572	27081	20180
573	27129	20134
574	27172	20083
575	27210	20030
576	27247	19974
577	27284	19920
578	27325	19868
579	27362	19814
580	27398	19759
581	27435	19704
582	27477	19654
583	27514	19599
584	27551	19545
585	27600	19499
586	27646	19451
587	27692	19403
588	27729	19349
589	27766	19295
590	27814	19248
591	27851	19195
592	27888	19140
593	27937	19095
594	27984	19048
595	28032	19001
596	28259	19076
597	28309	19030
598	28349	18978
599	28401	18934
600	28442	18882
601	28489	18834
602	28536	18787
603	28582	18739
604	28628	18691
605	28673	18642
606	28711	18589
607	28748	18534
608	28785	18481
609	28825	18429
610	28862	18375
611	28904	18325
612	28954	18279
613	29000	18231
614	29043	18181
615	29090	18134
616	29136	18086
617	29185	18040
618	29232	17992
619	29337	17980
620	29381	17931
621	29436	17888
622	29480	17839
623	29525	17791
624	29567	17740
625	29614	17693
626	29661	17645
627	29702	17594
628	29756	17550
629	29800	17501
630	29846	17453
631	29892	17405
632	29938	17357
633	29984	17309
634	30029	17261
635	30072	17211
636	30122	17165
637	30168	17117
638	30218	17072
639	30257	17019
640	30298	16968
641	30347	16922
642	30445	16903
643	30485	16851
644	30531	16804
645	30573	16753
646	30616	16704
647	30677	16664
648	30729	16619
649	30777	16572
650	30830	16528
651	30889	16487
652	30931	16436
653	30982	16391
654	31030	16344
655	31076	16296
656	31124	16249
657	31167	16199
658	31211	16150
659	31262	16105
660	31306	16055
661	31349	16005
662	31386	15953
663	31422	15900
664	31527	15882
665	31567	15831
666	31607	15780
667	31660	15735
668	31704	15686
669	31749	15637
670	31793	15588
671	31829	15536
672	31867	15483
673	31916	15437
674	31953	15385
675	31994	15334
676	32041	15287
677	32078	15235
678	32117	15183
679	32162	15135
680	32201	15084
681	32239	15032
682	32287	14985
683	32325	14934
684	32362	14882
685	32398	14829
686	32438	14779
687	32474	14726
688	32660	14742
689	32749	14713
690	32791	14663
691	32839	14616
692	32879	14565
693	32915	14513
694	32962	14465
695	33006	14416
696	33043	14364
697	33081	14313
698	33129	14266
699	33178	14219
700	33222	14170
701	33261	14119
702	33298	14067
703	33345	14020
704	33393	13973
705	33429	13920
706	33466	13869
707	33514	13822
708	33550	13770
709	33587	13718
710	33625	13667
711	33662	13616
712	33700	13565
713	33765	13525
714	33841	13489
715	33886	13441
716	33937	13395
717	34005	13355
718	34058	13310
719	34107	13263
720	34183	13227
721	34231	13180
722	34272	13130
723	34314	13081
724	34361	13033
725	34407	12985
726	34445	12934
727	34481	12883
728	34528	12835
729	34575	12788
730	34612	12736
731	34652	12687
732	34697	12638
733	34734	12587
734	34779	12539
735	34825	12491
736	34914	12459
737	34965	12413
738	35024	12369
739	35076	12324
740	35127	12277
741	35195	12237
742	35243	12190
743	35302	12146
744	35343	12097
745	35389	12049
746	35435	12001
747	35472	11950
748	35511	11900
749	35548	11849
750	35587	11799
751	35633	11751
752	35681	11704
753	35725	11655
754	35762	11605
755	35797	11553
756	35832	11502
757	35879	11455
758	35989	11427
759	36038	11380
760	36083	11332
761	36136	11286
762	36184	11239
763	36231	11191
764	36284	11146
765	36356	11106
766	36412	11061
767	36480	11020
768	36526	10972
769	36572	10924
770	36618	10876
771	36666	10828
772	36710	10780
773	36757	10732
774	36803	10684
775	36848	10636
776	36894	10588
777	36942	10541
778	36986	10493
779	37094	10462
780	37138	10413
781	37207	10372
782	37258	10325
783	37312	10280
784	37388	10240
785	37444	10194
786	37499	10149
787	37545	10100
788	37590	10052
789	37631	10003
790	37682	9956
791	37730	9908
792	37771	9859
793	37814	9810
794	37854	9761
795	37894	9711
796	37944	9664
797	37992	9617
798	38031	9567
799	38087	9521
800	38309	9517
801	38357	9469
802	38418	9425
803	38475	9379
804	38538	9335
805	38644	9301
806	38706	9256
807	38756	9209
808	38793	9158
809	38833	9108
810	38870	9058
811	38909	9008
812	38945	8958
813	38985	8908
814	39030	8859
815	39076	8811
816	39112	8760
817	39148	8710
818	39201	8663
819	39246	8615
820	39283	8564
821	39387	8529
822	39428	8479
823	39481	8432
824	39534	8386
825	39593	8340
826	39638	8292
827	39697	8246
828	39748	8199
829	39805	8152
830	39845	8103
831	39890	8054
832	39935	8006
833	39983	7958
834	40019	7908
835	40060	7858
836	40105	7810
837	40150	7761
838	40188	7711
839	40224	7661
840	40265	7612
841	40301	7562
842	40351	7514
843	40403	7467
844	40493	7427
845	40542	7380
846	40594	7332
847	40644	7285
848	40692	7237
849	40759	7192
850	40822	7147
851	40879	7101
852	40920	7051
853	40967	7003
854	41014	6955
855	41057	6906
856	41095	6857
857	41133	6807
858	41170	6757
859	41213	6709
860	41258	6660
861	41305	6612
862	41342	6563
863	41382	6513
864	41429	6465
865	41475	6417
866	41579	6378
867	41619	6329
868	41670	6281
869	41731	6235
870	41778	6187
871	41833	6140
872	41892	6094
873	41943	6046
874	41989	5998
875	42029	5949
876	42074	5900
877	42121	5852
878	42166	5804
879	42216	5756
880	42254	5707
881	42359	5667
882	42422	5621
883	42459	5571
884	42496	5522
885	42535	5472
886	42575	5423
887	42679	5383
888	42728	5335
889	42774	5286
890	42825	5239
891	42885	5192
892	42941	5145
893	43012	5099
894	43068	5052
895	43118	5004
896	43162	4956
897	43208	4907
898	43255	4859
899	43301	4811
900	43339	4762
901	43376	4712
902	43424	4664
903	43469	4616
904	43515	4567
905	43563	4519
906	43601	4470
907	43639	4421
908	43871	4391
909	43912	4343
910	43981	4296
911	44037	4249
912	44136	4205
913	44227	4161
914	44287	4114
915	44337	4065
916	44383	4017
917	44447	3970
918	44492	3921
919	44536	3872
920	44576	3823
921	44619	3774
922	44663	3725
923	44702	3676
924	44751	3628
925	44792	3579
926	44841	3531
927	44955	3487
928	44998	3439
929	45042	3390
930	45101	3342
931	45163	3295
932	45215	3247
933	45285	3200
934	45349	3152
935	45395	3103
936	45436	3054
937	45478	3006
938	45525	2957
939	45572	2908
940	45620	2860
941	45666	2811
942	45711	2763
943	45758	2714
944	45804	2665
945	45852	2617
946	45897	2568
947	45941	2520
948	45992	2471
949	46096	2426
