iter	Passed	Remaining
0	42	42636
1	88	44243
2	135	45132
3	185	46118
4	240	47856
5	313	52000
6	365	51825
7	407	50522
8	447	49288
9	499	49486
10	545	49080
11	582	47991
12	622	47265
13	668	47113
14	717	47147
15	762	46880
16	802	46413
17	840	45876
18	889	45936
19	935	45851
20	985	45921
21	1030	45811
22	1076	45738
23	1123	45701
24	1168	45574
25	1205	45175
26	1242	44771
27	1281	44476
28	1323	44321
29	1389	44940
30	1429	44697
31	1478	44725
32	1522	44618
33	1561	44376
34	1605	44252
35	1642	43988
36	1693	44068
37	1738	44023
38	1777	43795
39	1847	44339
40	1893	44300
41	1938	44218
42	1985	44185
43	2025	44016
44	2063	43797
45	2105	43669
46	2151	43635
47	2190	43441
48	2232	43324
49	2280	43326
50	2328	43323
51	2529	46115
52	2596	46396
53	2653	46477
54	2707	46516
55	2753	46411
56	2799	46318
57	2845	46215
58	2883	45987
59	2921	45763
60	2960	45567
61	2998	45371
62	3049	45354
63	3097	45305
64	3145	45252
65	3190	45156
66	3240	45119
67	3282	44987
68	3332	44968
69	3381	44919
70	3426	44832
71	3474	44782
72	3517	44665
73	3593	44965
74	3634	44830
75	3686	44820
76	3726	44668
77	3778	44664
78	3823	44580
79	3862	44422
80	3901	44259
81	3947	44193
82	3993	44118
83	4036	44012
84	4089	44019
85	4133	43925
86	4179	43862
87	4228	43820
88	4268	43696
89	4310	43583
90	4354	43498
91	4410	43528
92	4479	43686
93	4524	43609
94	4571	43545
95	4641	43708
96	4687	43640
97	4727	43508
98	4769	43405
99	4823	43408
100	4870	43352
101	4919	43313
102	4966	43248
103	5013	43192
104	5067	43195
105	5124	43223
106	5171	43161
107	5218	43104
108	5266	43050
109	5308	42952
110	5349	42844
111	5389	42734
112	5432	42641
113	5488	42658
114	5536	42605
115	5582	42541
116	5656	42691
117	5700	42608
118	5757	42628
119	5799	42530
120	5848	42488
121	5896	42437
122	5937	42336
123	5988	42303
124	6035	42247
125	6083	42196
126	6132	42153
127	6173	42055
128	6224	42028
129	6271	41969
130	6321	41931
131	6362	41838
132	6413	41805
133	6451	41691
134	6490	41589
135	6516	41402
136	6555	41292
137	6595	41195
138	6632	41082
139	6695	41126
140	6734	41028
141	6775	40936
142	6820	40878
143	6869	40836
144	6907	40730
145	6944	40620
146	6994	40586
147	7031	40476
148	7072	40392
149	7119	40343
150	7156	40236
151	7200	40171
152	7238	40072
153	7277	39979
154	7315	39880
155	7352	39778
156	7389	39677
157	7427	39583
158	7469	39506
159	7515	39458
160	7562	39411
161	7610	39369
162	7647	39269
163	7690	39201
164	7755	39247
165	7794	39158
166	7833	39075
167	7879	39019
168	7915	38921
169	7961	38870
170	7998	38776
171	8035	38680
172	8074	38597
173	8117	38534
174	8162	38481
175	8210	38438
176	8246	38344
177	8291	38288
178	8337	38239
179	8384	38198
180	8432	38154
181	8471	38074
182	8515	38015
183	8551	37925
184	8590	37844
185	8628	37759
186	8664	37670
187	8702	37587
188	8755	37570
189	8836	37671
190	8887	37643
191	8949	37661
192	9015	37694
193	9108	37844
194	9188	37932
195	9235	37885
196	9284	37846
197	9320	37754
198	9363	37691
199	9411	37646
200	9448	37557
201	9497	37517
202	9540	37457
203	9589	37416
204	9626	37332
205	9665	37255
206	9713	37210
207	9760	37164
208	9798	37083
209	9866	37116
210	9908	37050
211	9949	36980
212	9999	36944
213	10037	36866
214	10074	36784
215	10126	36753
216	10162	36669
217	10200	36589
218	10238	36512
219	10275	36431
220	10315	36361
221	10360	36307
222	10408	36267
223	10457	36228
224	10504	36181
225	10541	36103
226	10585	36046
227	10632	36001
228	10670	35924
229	10713	35868
230	10759	35819
231	10806	35772
232	10849	35714
233	10909	35713
234	10951	35651
235	10997	35603
236	11042	35549
237	11089	35505
238	11138	35465
239	11184	35418
240	11221	35341
241	11259	35267
242	11296	35191
243	11343	35146
244	11394	35112
245	11442	35070
246	11488	35022
247	11527	34953
248	11570	34896
249	11614	34842
250	11662	34800
251	11703	34740
252	11753	34702
253	11801	34660
254	11842	34599
255	11904	34597
256	11974	34617
257	12016	34559
258	12065	34519
259	12114	34478
260	12163	34439
261	12205	34379
262	12255	34343
263	12308	34315
264	12358	34276
265	12414	34257
266	12465	34220
267	12522	34204
268	12585	34201
269	12629	34147
270	12674	34094
271	12713	34028
272	12765	33995
273	12814	33954
274	12854	33888
275	12897	33833
276	12956	33818
277	13032	33846
278	13105	33867
279	13151	33817
280	13192	33755
281	13242	33715
282	13284	33656
283	13331	33610
284	13380	33569
285	13428	33524
286	13477	33481
287	13523	33432
288	13573	33392
289	13620	33346
290	13668	33302
291	13714	33252
292	13758	33198
293	13799	33137
294	13840	33076
295	13877	33005
296	13926	32962
297	13974	32918
298	14037	32911
299	14078	32850
300	14120	32790
301	14160	32727
302	14198	32660
303	14235	32592
304	14272	32523
305	14326	32491
306	14375	32449
307	14422	32403
308	14470	32358
309	14518	32315
310	14566	32270
311	14612	32223
312	14662	32181
313	14707	32130
314	14756	32089
315	14800	32036
316	14848	31992
317	14893	31941
318	14942	31898
319	14988	31850
320	15036	31805
321	15256	32123
322	15335	32143
323	15390	32111
324	15439	32066
325	15477	31999
326	15516	31933
327	15565	31889
328	15612	31841
329	15660	31795
330	15709	31751
331	15751	31692
332	15799	31645
333	15844	31593
334	15890	31544
335	15938	31496
336	15976	31431
337	16014	31365
338	16062	31318
339	16108	31268
340	16147	31206
341	16186	31141
342	16225	31078
343	16295	31075
344	16347	31036
345	16395	30990
346	16461	30978
347	16530	30970
348	16585	30938
349	16645	30912
350	16694	30868
351	16743	30823
352	16781	30758
353	16820	30694
354	16858	30629
355	16896	30565
356	16994	30609
357	17039	30556
358	17081	30500
359	17126	30447
360	17164	30382
361	17202	30318
362	17240	30253
363	17311	30247
364	17354	30191
365	17408	30155
366	17456	30108
367	17508	30069
368	17557	30023
369	17626	30012
370	17676	29968
371	17735	29940
372	17777	29883
373	17821	29829
374	17868	29781
375	17906	29717
376	17960	29679
377	18000	29619
378	18052	29578
379	18091	29516
380	18144	29478
381	18184	29418
382	18223	29356
383	18260	29292
384	18309	29248
385	18378	29233
386	18423	29181
387	18484	29156
388	18542	29123
389	18596	29086
390	18672	29083
391	18754	29088
392	18808	29050
393	18851	28994
394	18902	28951
395	18946	28898
396	18990	28843
397	19038	28797
398	19083	28745
399	19130	28695
400	19173	28641
401	19222	28594
402	19272	28550
403	19319	28501
404	19409	28515
405	19457	28467
406	19502	28414
407	19546	28361
408	19588	28304
409	19631	28250
410	19681	28205
411	19723	28148
412	19773	28104
413	19814	28046
414	19864	28001
415	19910	27951
416	19956	27901
417	20000	27848
418	20048	27800
419	20096	27752
420	20138	27696
421	20189	27652
422	20236	27603
423	20281	27551
424	20326	27500
425	20370	27448
426	20414	27394
427	20504	27402
428	20576	27387
429	20633	27350
430	20681	27303
431	20725	27250
432	20770	27198
433	20813	27143
434	20864	27100
435	20905	27042
436	20945	26984
437	21001	26947
438	21042	26889
439	21094	26848
440	21139	26796
441	21186	26746
442	21227	26690
443	21264	26628
444	21305	26572
445	21343	26511
446	21380	26450
447	21478	26464
448	21562	26461
449	21606	26407
450	21645	26349
451	21683	26288
452	21736	26247
453	21782	26196
454	21820	26136
455	21858	26077
456	21904	26026
457	21942	25967
458	21979	25905
459	22027	25858
460	22071	25806
461	22119	25758
462	22157	25698
463	22197	25641
464	22235	25582
465	22273	25523
466	22310	25464
467	22350	25406
468	22397	25357
469	22444	25310
470	22490	25260
471	22539	25214
472	22614	25195
473	22666	25152
474	22708	25099
475	22747	25041
476	22784	24981
477	22834	24936
478	22873	24878
479	22916	24825
480	22957	24771
481	23004	24722
482	23065	24689
483	23104	24631
484	23156	24589
485	23202	24539
486	23248	24489
487	23294	24440
488	23332	24382
489	23370	24324
490	23408	24266
491	23447	24210
492	23493	24161
493	23540	24112
494	23577	24054
495	23649	24030
496	23692	23978
497	23737	23927
498	23775	23870
499	23817	23817
500	23863	23768
501	23900	23710
502	23939	23653
503	23977	23597
504	24016	23541
505	24061	23491
506	24111	23445
507	24157	23396
508	24202	23346
509	24248	23297
510	24289	23243
511	24362	23220
512	24407	23170
513	24451	23119
514	24491	23064
515	24545	23023
516	24584	22968
517	24623	22912
518	24688	22881
519	24734	22831
520	24786	22788
521	24844	22750
522	24888	22699
523	24934	22650
524	24977	22598
525	25022	22549
526	25068	22499
527	25116	22452
528	25155	22397
529	25207	22354
530	25245	22297
531	25286	22244
532	25332	22195
533	25371	22140
534	25410	22085
535	25456	22036
536	25502	21988
537	25550	21940
538	25593	21889
539	25640	21841
540	25679	21786
541	25753	21762
542	25822	21732
543	25883	21696
544	25941	21657
545	25991	21612
546	26055	21577
547	26113	21538
548	26180	21506
549	26228	21459
550	26274	21410
551	26333	21372
552	26382	21325
553	26424	21273
554	26474	21227
555	26518	21176
556	26567	21129
557	26611	21079
558	26655	21028
559	26702	20980
560	26909	21057
561	26952	21005
562	27009	20964
563	27064	20922
564	27117	20877
565	27168	20832
566	27241	20803
567	27296	20760
568	27346	20714
569	27388	20661
570	27439	20615
571	27486	20566
572	27534	20519
573	27577	20467
574	27627	20420
575	27666	20365
576	27717	20319
577	27758	20266
578	27812	20222
579	27859	20174
580	27908	20126
581	28003	20112
582	28051	20064
583	28108	20022
584	28153	19972
585	28215	19933
586	28262	19884
587	28301	19830
588	28351	19783
589	28399	19735
590	28444	19685
591	28490	19635
592	28540	19588
593	28586	19538
594	28659	19507
595	28701	19455
596	28748	19406
597	28795	19357
598	28839	19306
599	28888	19258
600	28935	19210
601	28978	19158
602	29066	19136
603	29126	19096
604	29170	19044
605	29217	18996
606	29263	18946
607	29309	18896
608	29353	18846
609	29399	18796
610	29448	18748
611	29495	18699
612	29544	18652
613	29588	18601
614	29634	18551
615	29673	18497
616	29710	18442
617	29755	18392
618	29802	18343
619	29841	18289
620	29896	18245
621	29935	18192
622	29973	18138
623	30012	18084
624	30051	18030
625	30132	18002
626	30173	17950
627	30221	17901
628	30259	17847
629	30296	17793
630	30335	17739
631	30388	17694
632	30435	17645
633	30475	17592
634	30528	17547
635	30572	17497
636	30616	17447
637	30655	17393
638	30695	17341
639	30735	17288
640	30772	17234
641	30810	17180
642	30863	17135
