iter	Logloss
0	0.6841778564
1	0.6755600739
2	0.667480011
3	0.6589414215
4	0.6518510437
5	0.6450623322
6	0.6370594788
7	0.6297095108
8	0.6236924744
9	0.618377037
10	0.611734848
11	0.6070141983
12	0.6029689407
13	0.5980435562
14	0.5931577301
15	0.5893420792
16	0.5858351898
17	0.5817934418
18	0.5783576202
19	0.5752977371
20	0.5715115356
21	0.569285202
22	0.5661280823
23	0.5624355316
24	0.5589412689
25	0.5564884567
26	0.5545467377
27	0.5523495102
28	0.5499119568
29	0.5479195023
30	0.5452187347
31	0.5428404236
32	0.5414300537
33	0.53936409
34	0.5374243927
35	0.5353823853
36	0.5337630463
37	0.5321595001
38	0.5310575104
39	0.5298118591
40	0.5275515747
41	0.5262431717
42	0.5251224518
43	0.5230197525
44	0.5217572403
45	0.5206206894
46	0.5196853638
47	0.5181100464
48	0.5169628143
49	0.5158192825
50	0.5146186447
51	0.513551445
52	0.5126787567
53	0.5119187164
54	0.5107426453
55	0.5092302704
56	0.5080838013
57	0.5069020081
58	0.5060630035
59	0.5056302643
60	0.504996376
61	0.503837738
62	0.5028630066
63	0.5016514587
64	0.5007628632
65	0.5001855469
66	0.4993991089
67	0.4987622833
68	0.4981525421
69	0.4973458862
70	0.4968456268
71	0.4959854126
72	0.4953601074
73	0.4947577667
74	0.4941140366
75	0.4932476044
76	0.4922272491
77	0.4916944122
78	0.490764389
79	0.4898680115
80	0.4890538406
81	0.4885108948
82	0.488001709
83	0.4875437164
84	0.4871410751
85	0.486694603
86	0.4858615875
87	0.4849122238
88	0.4842551422
89	0.4834851074
90	0.4829389954
91	0.4821934128
92	0.481892395
93	0.4812519455
94	0.4806233215
95	0.4794704437
96	0.4788516617
97	0.4784451294
98	0.4778139496
99	0.4775082016
100	0.4771411133
101	0.4762307739
102	0.4755845261
103	0.4744369888
104	0.4741371155
105	0.4736387634
106	0.4733795166
107	0.4726938629
108	0.4720165634
109	0.4715754318
110	0.4711226654
111	0.4707162476
112	0.4703858185
113	0.4700380707
114	0.4696249008
115	0.4688986206
116	0.4683551788
117	0.4679872131
118	0.4675137711
119	0.4669863129
120	0.466326828
121	0.4658337402
122	0.4653588486
123	0.4649837494
124	0.4646778488
125	0.4643536377
126	0.463685379
127	0.4632505035
128	0.4628662109
129	0.4625727844
130	0.4622365952
131	0.4617547607
132	0.4615726471
133	0.4612030411
134	0.4608420563
135	0.4604050446
136	0.4600066376
137	0.4594685364
138	0.4588961792
139	0.4585428619
140	0.4581167603
141	0.4577314758
142	0.4573683929
143	0.4569208145
144	0.4562322235
145	0.4559358978
146	0.4555856323
147	0.4550928497
148	0.4545262146
149	0.4539715576
150	0.4531561279
151	0.4525005341
152	0.4518679428
153	0.4514862061
154	0.4511919403
155	0.4508966064
156	0.4500579071
157	0.4498776245
158	0.4496105957
159	0.4493275452
160	0.4489754486
161	0.4487130356
162	0.4482917023
163	0.4480374527
164	0.4476514435
165	0.4472188187
166	0.4468476105
167	0.4466433334
168	0.4464498138
169	0.4461508179
170	0.4459350586
171	0.4456239319
172	0.4450089264
173	0.4447034073
174	0.4443855667
175	0.4439199829
176	0.4436192322
177	0.4429867935
178	0.4427236176
179	0.4424872971
180	0.442188797
181	0.4416274261
182	0.4409392548
183	0.4404118729
184	0.4401036453
185	0.4397158813
186	0.4394639206
187	0.4391656113
188	0.4387071991
189	0.4384718704
190	0.4382348633
191	0.4379003143
192	0.4375997162
193	0.4372981262
194	0.4370047379
195	0.4366702271
196	0.436281395
197	0.4359976196
198	0.4356490326
199	0.4353388214
200	0.4348792648
201	0.4344553757
202	0.4341053772
203	0.4336423874
204	0.4331497574
205	0.4328231049
206	0.4322393799
207	0.4318967438
208	0.4315706253
209	0.4313179779
210	0.4310086823
211	0.4306373215
212	0.4302647781
213	0.4299181366
214	0.429573822
215	0.4291529083
216	0.4287713242
217	0.4284314728
218	0.4279963684
219	0.4275065994
220	0.427222023
221	0.426868515
222	0.4265696335
223	0.4257803726
224	0.4254986572
225	0.4250479889
226	0.4246066284
227	0.4240176392
228	0.4237181473
229	0.4232657623
230	0.4228036499
231	0.4224329376
232	0.4221363068
233	0.421792984
234	0.4214583588
235	0.4209275055
236	0.4205958557
237	0.4201156616
238	0.4197818756
239	0.419499054
240	0.4192387772
241	0.4190039825
242	0.418542099
243	0.4180887604
244	0.4176741028
245	0.4172911835
246	0.4168617249
247	0.416328125
248	0.4161096954
249	0.41559021
250	0.415283432
251	0.414954071
252	0.4146559525
253	0.4139228058
254	0.4134643936
255	0.4130805206
256	0.4127037048
257	0.4121708679
258	0.4119013214
259	0.4114511108
260	0.4110689545
261	0.4105451965
262	0.4102780151
263	0.4097921753
264	0.4094307709
265	0.4084075928
266	0.4080541611
267	0.4074155426
268	0.4071077347
269	0.4068727875
270	0.4065158463
271	0.4059151459
272	0.4055630112
273	0.405175705
274	0.4049758148
275	0.4045796204
276	0.4036904144
277	0.4032202911
278	0.4022034454
279	0.401918869
280	0.4016646194
281	0.4014212799
282	0.400961113
283	0.4006531143
284	0.4002574158
285	0.3996496582
286	0.3991352081
287	0.398835144
288	0.3983408356
289	0.3980324173
290	0.397469101
291	0.3971800232
292	0.3968379974
293	0.3963887024
294	0.3960395432
295	0.3954685974
296	0.3952410126
297	0.3949887848
298	0.3945934296
299	0.3941698456
300	0.3936289978
301	0.3933524323
302	0.3931487274
303	0.3922760773
304	0.3919804001
305	0.3916312027
306	0.3913608551
307	0.3910609436
308	0.3907833099
309	0.3898039246
310	0.3889282227
311	0.3886259842
312	0.3882725525
313	0.3876644516
314	0.3869651794
315	0.3867175293
316	0.3857302094
317	0.3854779816
318	0.3849824905
319	0.3845579147
320	0.3843428802
321	0.3838972473
322	0.3836794281
323	0.383364296
324	0.3831517792
325	0.3823365784
326	0.3820388412
327	0.3815805054
328	0.3807611084
329	0.3798865509
330	0.3790736008
331	0.3788087845
332	0.3782791901
333	0.3780957031
334	0.3777745819
335	0.3772900391
336	0.3769756317
337	0.3767661285
338	0.3763941193
339	0.3759896851
340	0.3756764984
341	0.3750747299
342	0.3748621368
343	0.3745428467
344	0.3733869171
345	0.3726148224
346	0.372438736
347	0.3720397568
348	0.3713367081
349	0.3707526779
350	0.3706069946
351	0.3703784943
352	0.3697872925
353	0.369244957
354	0.3690234756
355	0.3685656357
356	0.3684204483
357	0.3681396103
358	0.3678646851
359	0.3675297928
360	0.3673683167
361	0.3666234589
362	0.3660500336
363	0.3658574677
364	0.3652134705
365	0.3645530319
366	0.3643816376
367	0.3642155838
368	0.3640561676
369	0.3637129974
370	0.3633557892
371	0.3631653595
372	0.3629999161
373	0.362788887
374	0.362605896
375	0.3619190979
376	0.3617934418
377	0.3610191345
378	0.3606016159
379	0.3600605774
380	0.3595434189
381	0.3593579102
382	0.358870697
383	0.3587094879
384	0.3584174347
385	0.3582078552
386	0.3576166534
387	0.3567160034
388	0.3562190247
389	0.3555524445
390	0.3553975677
391	0.3551663971
392	0.3544558716
393	0.3541917801
394	0.3533665085
395	0.3531852341
396	0.3530895615
397	0.3527931595
398	0.3527122879
399	0.3520476532
400	0.3518707657
401	0.3517228699
402	0.3515723419
403	0.3507224274
404	0.3506021881
405	0.3504718018
406	0.3502570724
407	0.3495569229
408	0.3488747406
409	0.3482962799
410	0.3476686096
411	0.3475282669
412	0.3473255539
413	0.3470427322
414	0.3469820404
415	0.3466207504
416	0.346274147
417	0.3457261658
418	0.3456464767
419	0.3448306274
420	0.344180069
421	0.3437748337
422	0.3433495712
423	0.3428601074
424	0.3422415924
425	0.3421307755
426	0.3420316315
427	0.3419142914
428	0.3418238449
429	0.3416281891
430	0.3415742493
431	0.3413833618
432	0.3406201172
433	0.3400614166
434	0.3395777893
435	0.3394081497
436	0.3386357117
437	0.338484726
438	0.3383587646
439	0.3376390839
440	0.3370105743
441	0.3363533783
442	0.336183815
443	0.3359589767
444	0.3358329773
445	0.3355912781
446	0.3354285431
447	0.3352946472
448	0.334621582
449	0.3342619705
450	0.3341305923
451	0.3338544464
452	0.3337402344
453	0.3331603241
454	0.3325339508
455	0.3319429779
456	0.3315829468
457	0.3311697769
458	0.3309446716
459	0.3305978012
460	0.3298637772
461	0.329553833
462	0.3292665863
463	0.3288871002
464	0.3287668991
465	0.3286804962
466	0.3284511566
467	0.3282430267
468	0.3281236649
469	0.3280335236
470	0.3278823853
471	0.327461319
472	0.3273470306
473	0.3268887711
474	0.3268153381
475	0.3266532898
476	0.3261652756
477	0.3254384995
478	0.3250832748
479	0.324601593
480	0.3244432068
481	0.3242060089
482	0.323758316
483	0.3231612015
484	0.3226517487
485	0.3225281525
486	0.3221163177
487	0.3220088196
488	0.321918335
489	0.3215536118
490	0.3213838196
491	0.3207001495
492	0.3206451035
493	0.3200170135
494	0.319751339
495	0.3193724442
496	0.3190521431
497	0.3188182831
498	0.318706913
499	0.3181414604
500	0.3180025482
501	0.3175834846
502	0.317169075
503	0.3167694283
504	0.3164468765
505	0.3162965393
506	0.3162443542
507	0.3161832809
508	0.3157041931
509	0.3156045914
510	0.3154800797
511	0.3154221725
512	0.3148546219
513	0.3147317505
514	0.3141429138
515	0.3140329742
516	0.3139313316
517	0.313833847
518	0.3133698273
519	0.3131555176
520	0.3129354095
521	0.3126166916
522	0.3124309158
523	0.3123578644
524	0.3122987747
525	0.3118237305
526	0.3116693878
527	0.311254158
528	0.3110264015
529	0.3108568192
530	0.3107307243
531	0.3103313255
532	0.310174408
533	0.3100582886
534	0.3098053169
535	0.3097612
536	0.3097096252
537	0.3092478943
538	0.3090486908
539	0.3087845039
540	0.3086807251
541	0.3084557152
542	0.3082466888
543	0.3080579376
544	0.3078208542
545	0.3076875114
546	0.3075311279
547	0.3071520615
548	0.3068182755
549	0.3067648888
550	0.3066036987
551	0.3060883141
552	0.3053754997
553	0.3050733948
554	0.3049129486
555	0.3048278427
556	0.3043741989
557	0.3041502571
558	0.3039941978
559	0.3034702682
560	0.3031081581
561	0.3028147888
562	0.3024979782
563	0.3024522781
564	0.3018735886
565	0.3016884995
566	0.3011791801
567	0.3010149765
568	0.3006981277
569	0.300240078
570	0.2999481392
571	0.2997259903
572	0.2995486832
573	0.2994889832
574	0.2993878937
575	0.2991384315
576	0.2984788322
577	0.2983834839
578	0.2977654266
579	0.2973779297
580	0.2969215393
581	0.296719017
582	0.296645298
583	0.2965286255
584	0.2962978554
585	0.296199913
586	0.2960600853
587	0.2959512711
588	0.2958003998
589	0.2955052376
590	0.2950963402
591	0.294695549
592	0.2942361069
593	0.2938246346
594	0.2936992645
595	0.293526535
596	0.2930418396
597	0.2926817322
598	0.2923987961
599	0.2922407532
600	0.2920584869
601	0.2916446686
602	0.2912043571
603	0.2908974075
604	0.2908196259
605	0.2906923103
606	0.2905567551
607	0.2899785805
608	0.2898556519
609	0.2896580124
610	0.2890607643
611	0.288595562
612	0.2882382965
613	0.2880823517
614	0.2877676392
615	0.2874808121
616	0.2873784256
617	0.2873085403
618	0.2871538544
619	0.2870888519
620	0.2868223572
621	0.2865032578
622	0.2863898849
623	0.2863082886
624	0.2861582565
625	0.2857390785
626	0.2854631042
627	0.2853987885
628	0.2850474167
629	0.2846110916
630	0.2843540573
631	0.2840507507
632	0.2837890625
633	0.2833000565
634	0.2830684662
635	0.2826673889
636	0.282343235
637	0.2820414352
638	0.2818439102
639	0.2816981506
640	0.2812213135
641	0.2811508751
642	0.2808466721
643	0.2804756165
644	0.2800614166
645	0.2799447823
646	0.2799059105
647	0.2797430038
648	0.2795290756
649	0.2791915131
650	0.2791446304
651	0.2790135193
652	0.2788929176
653	0.2786567688
