iter	Passed	Remaining
0	38	38266
1	89	44850
2	128	42783
3	182	45456
4	223	44572
5	267	44394
6	306	43502
7	345	42839
8	397	43748
9	442	43758
10	493	44361
11	536	44180
12	582	44192
13	630	44429
14	674	44314
15	722	44422
16	767	44387
17	852	46482
18	973	50244
19	1035	50732
20	1101	51346
21	1156	51427
22	1217	51708
23	1276	51918
24	1345	52465
25	1398	52395
26	1451	52304
27	1509	52409
28	1562	52315
29	1614	52204
30	1665	52045
31	1716	51928
32	1768	51835
33	1820	51711
34	1871	51598
35	1922	51468
36	1974	51395
37	2034	51495
38	2097	51691
39	2150	51615
40	2202	51525
41	2254	51429
42	2305	51309
43	2358	51245
44	2421	51384
45	2484	51518
46	2538	51466
47	2595	51469
48	2651	51468
49	2705	51409
50	2767	51495
51	2822	51463
52	2879	51443
53	2942	51550
54	3001	51562
55	3058	51560
56	3118	51583
57	3173	51541
58	3230	51525
59	3295	51629
60	3348	51542
61	3398	51411
62	3468	51593
63	3526	51569
64	3583	51547
65	3634	51430
66	3694	51444
67	3759	51528
68	3822	51574
69	3878	51522
70	3931	51442
71	3983	51341
72	4041	51326
73	4094	51232
74	4149	51178
75	4203	51100
76	4258	51049
77	4303	50873
78	4365	50893
79	4425	50890
80	4467	50681
81	4514	50543
82	4565	50438
83	4613	50306
84	4658	50150
85	4703	49983
86	4749	49847
87	4811	49867
88	4858	49731
89	4899	49543
90	4940	49354
91	5095	50288
92	5179	50514
93	5308	51160
94	5391	51363
95	5448	51309
96	5507	51269
97	5561	51186
98	5616	51114
99	5674	51070
100	5730	51003
101	5795	51023
102	5851	50962
103	5906	50884
104	5957	50782
105	6006	50660
106	6062	50592
107	6113	50495
108	6165	50395
109	6221	50336
110	6275	50262
111	6330	50188
112	6384	50112
113	6438	50036
114	6489	49940
115	6541	49850
116	6594	49768
117	6647	49688
118	6702	49623
119	6758	49563
120	6813	49496
121	6855	49338
122	6927	49394
123	6982	49330
124	7047	49330
125	7092	49195
126	7193	49447
127	7257	49441
128	7308	49345
129	7371	49331
130	7416	49195
131	7467	49104
132	7540	49153
133	7588	49043
134	7654	49044
135	7708	48974
136	7759	48880
137	7811	48796
138	7879	48806
139	7916	48631
140	7955	48468
141	8006	48379
142	8049	48242
143	8090	48093
144	8142	48010
145	8179	47847
146	8218	47686
147	8263	47570
148	8309	47456
149	8355	47346
150	8476	47660
151	8584	47893
152	8654	47912
153	8744	48037
154	8821	48091
155	8875	48017
156	8927	47937
157	8976	47835
158	9039	47811
159	9104	47800
160	9166	47766
161	9230	47749
162	9280	47652
163	9323	47525
164	9373	47437
165	9422	47341
166	9470	47241
167	9521	47153
168	9578	47099
169	9645	47091
170	9702	47037
171	9772	47044
172	9845	47062
173	9962	47294
174	10051	47383
175	10114	47352
176	10170	47291
177	10214	47171
178	10261	47064
179	10301	46931
180	10345	46810
181	10390	46697
182	10434	46583
183	10498	46560
184	10554	46498
185	10610	46434
186	10675	46413
187	10734	46363
188	10776	46240
189	10816	46112
190	10857	45989
191	10911	45917
192	10950	45788
193	10992	45671
194	11058	45649
195	11101	45540
196	11155	45471
197	11197	45355
198	11248	45274
199	11307	45231
200	11352	45127
201	11405	45055
202	11452	44963
203	11492	44843
204	11544	44768
205	11585	44654
206	11636	44579
207	11678	44469
208	11728	44388
209	11769	44274
210	11822	44208
211	11863	44097
212	11907	43995
213	11949	43889
214	12004	43829
215	12046	43725
216	12101	43666
217	12142	43556
218	12184	43453
219	12226	43348
220	12265	43236
221	12327	43201
222	12371	43106
223	12415	43009
224	12461	42924
225	12504	42824
226	12554	42752
227	12603	42673
228	12644	42570
229	12685	42468
230	12740	42412
231	12782	42314
232	12831	42237
233	12874	42143
234	12916	42046
235	12961	41961
236	13016	41906
237	13058	41808
238	13106	41731
239	13148	41638
240	13196	41561
241	13240	41473
242	13297	41423
243	13342	41339
244	13388	41257
245	13446	41215
246	13507	41178
247	13566	41136
248	13610	41050
249	13654	40964
250	13705	40898
251	13750	40815
252	13793	40725
253	13843	40657
254	13884	40565
255	13928	40480
256	13977	40409
257	14024	40333
258	14065	40242
259	14122	40193
260	14163	40101
261	14211	40030
262	14256	39951
263	14305	39881
264	14349	39798
265	14395	39722
266	14443	39651
267	14486	39566
268	14532	39492
269	14584	39432
270	14627	39347
271	14670	39264
272	14713	39180
273	14757	39102
274	14805	39031
275	14860	38981
276	14915	38931
277	14964	38864
278	15007	38782
279	15047	38692
280	15088	38607
281	15134	38533
282	15183	38469
283	15227	38391
284	15271	38312
285	15316	38236
286	15357	38152
287	15405	38085
288	15449	38010
289	15502	37955
290	15572	37940
291	15628	37894
292	15696	37874
293	15752	37827
294	15807	37777
295	15848	37693
296	15888	37607
297	15930	37528
298	15971	37444
299	16025	37392
300	16086	37356
301	16142	37309
302	16198	37261
303	16250	37205
304	16305	37156
305	16354	37091
306	16399	37018
307	16447	36954
308	16495	36887
309	16539	36814
310	16585	36744
311	16632	36676
312	16676	36603
313	16723	36536
314	16769	36467
315	16815	36398
316	16860	36327
317	16903	36252
318	16951	36188
319	16994	36113
320	17038	36039
321	17091	35987
322	17133	35911
323	17176	35838
324	17225	35775
325	17275	35717
326	17322	35650
327	17367	35581
328	17409	35507
329	17450	35429
330	17491	35353
331	17537	35286
332	17582	35216
333	17622	35138
334	17660	35057
335	17703	34985
336	17746	34914
337	17801	34866
338	17851	34807
339	17909	34766
340	17952	34694
341	18028	34687
342	18080	34631
343	18129	34572
344	18186	34527
345	18223	34446
346	18272	34385
347	18315	34314
348	18356	34240
349	18407	34185
350	18456	34125
351	18500	34057
352	18548	33997
353	18591	33927
354	18639	33866
355	18681	33794
356	18732	33739
357	18776	33672
358	18816	33597
359	18869	33545
360	18907	33467
361	18952	33401
362	19010	33359
363	19052	33290
364	19094	33219
365	19149	33170
366	19193	33104
367	19240	33043
368	19284	32977
369	19331	32915
370	19378	32854
371	19417	32780
372	19460	32711
373	19502	32642
374	19547	32578
375	19594	32519
376	19639	32454
377	19683	32389
378	19729	32326
379	19778	32270
380	19821	32203
381	19867	32141
382	19912	32078
383	19959	32017
384	20006	31958
385	20048	31890
386	20097	31833
387	20135	31759
388	20178	31694
389	20242	31661
390	20282	31590
391	20321	31519
392	20363	31451
393	20404	31383
394	20444	31313
395	20483	31241
396	20526	31178
397	20573	31118
398	20619	31058
399	20664	30996
400	20709	30934
401	20754	30872
402	20801	30815
403	20855	30767
404	20898	30702
405	20946	30645
406	20990	30583
407	21032	30517
408	21083	30465
409	21128	30404
410	21174	30345
411	21219	30284
412	21281	30247
413	21330	30192
414	21379	30137
415	21434	30091
416	21482	30033
417	21525	29970
418	21575	29917
419	21620	29857
420	21682	29820
421	21727	29759
422	21770	29696
423	21814	29634
424	21858	29572
425	21916	29530
426	21973	29487
427	22049	29468
428	22109	29427
429	22179	29400
430	22241	29362
431	22305	29327
432	22351	29268
433	22396	29208
434	22445	29152
435	22488	29090
436	22533	29030
437	22588	28983
438	22635	28925
439	22681	28867
440	22732	28814
441	22785	28765
442	22833	28709
443	22882	28654
444	22927	28594
445	22974	28538
446	23021	28481
447	23067	28422
448	23113	28364
449	23168	28317
450	23232	28281
451	23302	28252
452	23354	28200
453	23402	28145
454	23480	28125
455	23554	28100
456	23602	28043
457	23667	28008
458	23719	27956
459	23812	27953
460	23857	27893
461	23901	27833
462	23954	27782
463	24099	27838
464	24219	27865
465	24332	27883
466	24396	27843
467	24450	27793
468	24512	27753
469	24562	27698
470	24618	27649
471	24686	27615
472	24747	27572
473	24799	27519
474	24856	27472
475	24912	27424
476	24975	27383
477	25023	27326
478	25068	27266
479	25114	27206
480	25151	27138
481	25189	27070
482	25236	27012
483	25282	26954
484	25330	26897
485	25421	26885
486	25564	26929
487	25634	26895
488	25722	26879
489	25777	26829
490	25832	26779
491	25877	26719
492	25952	26689
493	25993	26625
494	26104	26632
495	26206	26628
496	26284	26601
497	26412	26624
498	26487	26593
499	26553	26553
500	26607	26501
501	26672	26460
502	26727	26408
503	26776	26351
504	26827	26296
505	26884	26246
506	26938	26195
507	26993	26143
508	27043	26086
509	27107	26044
510	27163	25993
511	27220	25944
512	27271	25889
513	27337	25848
514	27394	25798
515	27456	25753
516	27511	25702
517	27582	25665
518	27629	25606
519	27684	25554
520	27739	25503
521	27792	25449
522	27846	25396
523	27903	25347
524	27959	25296
525	28016	25246
526	28071	25195
527	28139	25155
528	28202	25110
529	28263	25063
530	28328	25021
531	28388	24973
532	28452	24929
533	28519	24887
534	28575	24836
535	28633	24787
536	28701	24746
537	28761	24698
538	28832	24659
539	28891	24611
540	28954	24565
541	29018	24520
542	29077	24472
543	29148	24432
544	29223	24397
545	29283	24349
546	29336	24295
547	29399	24249
548	29460	24201
549	29533	24163
550	29622	24138
551	29683	24090
552	29744	24042
553	29809	23997
554	29869	23949
555	29935	23905
556	29998	23859
557	30064	23814
558	30126	23767
559	30184	23716
560	30245	23668
561	30304	23618
562	30361	23566
563	30427	23521
564	30491	23475
565	30564	23436
566	30619	23383
567	30683	23337
568	30742	23286
569	30796	23232
570	30854	23181
571	30949	23158
572	31044	23134
573	31134	23106
574	31235	23087
575	31290	23033
576	31352	22984
577	31410	22932
578	31469	22882
579	31557	22852
580	31625	22807
581	31679	22752
582	31742	22704
583	31802	22653
584	31860	22601
585	31921	22552
586	31980	22500
587	32038	22449
588	32105	22403
589	32169	22355
590	32227	22303
591	32297	22259
592	32360	22210
593	32418	22158
594	32479	22107
595	32534	22053
596	32594	22002
597	32653	21951
598	32713	21899
599	32767	21844
600	32828	21794
601	32888	21743
602	32945	21690
603	33014	21645
604	33073	21593
605	33130	21540
606	33186	21486
607	33246	21435
608	33318	21391
609	33390	21347
610	33441	21291
611	33481	21226
612	33519	21161
613	33561	21098
614	33597	21032
615	33645	20973
616	33697	20917
617	33737	20853
618	33775	20788
619	33814	20725
620	33885	20680
621	33934	20622
622	33978	20561
623	34025	20502
624	34073	20444
625	34120	20385
626	34166	20325
627	34213	20266
628	34265	20210
629	34310	20150
630	34347	20086
631	34463	20067
632	34541	20026
633	34589	19968
634	34634	19908
635	34704	19862
636	34755	19805
637	34804	19747
638	34845	19685
639	34887	19624
640	34928	19562
641	34973	19502
642	35012	19439
643	35052	19376
644	35115	19326
645	35162	19268
646	35214	19212
647	35256	19151
648	35302	19092
649	35349	19034
650	35393	18974
651	35441	18916
652	35542	18886
653	35632	18851
654	35686	18796
655	35738	18740
656	35775	18677
657	35812	18613
658	35858	18555
659	35903	18495
660	35950	18437
661	35988	18374
662	36027	18312
663	36065	18249
664	36102	18187
665	36150	18129
666	36199	18072
667	36247	18015
668	36295	17957
669	36342	17900
670	36390	17842
671	36451	17791
672	36499	17734
673	36546	17677
674	36588	17616
675	36637	17560
676	36687	17503
677	36731	17444
678	36769	17383
679	36900	17365
680	36959	17312
681	37027	17265
682	37070	17205
683	37124	17151
684	37168	17092
685	37212	17032
686	37258	16975
687	37295	16913
688	37337	16853
689	37387	16797
690	37432	16739
691	37484	16683
692	37554	16636
693	37615	16585
694	37677	16534
695	37763	16494
696	37816	16439
697	37869	16384
698	37927	16332
699	37971	16273
700	38027	16219
701	38086	16167
702	38133	16110
703	38178	16052
704	38226	15995
705	38274	15938
706	38320	15881
707	38371	15825
708	38416	15767
709	38463	15710
710	38506	15651
711	38551	15593
