iter	Logloss
0	0.6885455322
1	0.6843818359
2	0.6796931152
3	0.6751348877
4	0.6709159546
5	0.6668123779
6	0.662892334
7	0.6589328613
8	0.6552600098
9	0.6514491577
10	0.6473505859
11	0.6440402832
12	0.6408656616
13	0.6376176758
14	0.6339431152
15	0.6307834473
16	0.6267192383
17	0.6234445801
18	0.6203985596
19	0.617701355
20	0.6144067993
21	0.611793457
22	0.6090245361
23	0.6061751709
24	0.6036344604
25	0.600699646
26	0.598430481
27	0.596272522
28	0.5939963379
29	0.5913965454
30	0.5894054565
31	0.5871210937
32	0.5850039062
33	0.5832454224
34	0.5816101074
35	0.579739624
36	0.5779033203
37	0.5763581543
38	0.5748371582
39	0.5732889404
40	0.5719743652
41	0.5700789795
42	0.5686489258
43	0.5671829224
44	0.5656820068
45	0.5643706055
46	0.5630390015
47	0.5614715576
48	0.5602838135
49	0.5589974365
50	0.557973999
51	0.556651123
52	0.5554039307
53	0.5542365112
54	0.5532547607
55	0.5521809692
56	0.550788147
57	0.5498292236
58	0.548567627
59	0.5470650635
60	0.5458052979
61	0.5447178345
62	0.543901062
63	0.5427832031
64	0.5417607422
65	0.5409162598
66	0.5401316528
67	0.5391791992
68	0.53809729
69	0.5371821289
70	0.5363348389
71	0.5354193115
72	0.5345336914
73	0.5337487793
74	0.533034729
75	0.5321526489
76	0.531079834
77	0.5302507935
78	0.52947229
79	0.5288015747
80	0.5284413452
81	0.5277003784
82	0.5268894653
83	0.5260583496
84	0.525529541
85	0.5247249146
86	0.524119873
87	0.5236534424
88	0.5232779541
89	0.5225505981
90	0.5218846436
91	0.521338501
92	0.5206045532
93	0.5200292969
94	0.5193510132
95	0.5186712646
96	0.5179650269
97	0.5173636475
98	0.5167016602
99	0.5161757812
100	0.515119812
101	0.5145325317
102	0.5139816895
103	0.5134974365
104	0.5129207764
105	0.5126340332
106	0.5121166382
107	0.5114993286
108	0.511078186
109	0.5104519653
110	0.509977478
111	0.5093494263
112	0.5087383728
113	0.5083070068
114	0.5078173828
115	0.5074011841
116	0.5068980103
117	0.5064477234
118	0.5059318237
119	0.505427063
120	0.5049251709
121	0.5042456665
122	0.5039810791
123	0.5035088806
124	0.503239624
125	0.5027160645
126	0.5024778442
127	0.5020491638
128	0.5017184448
129	0.5009577942
