iter	Logloss
0	0.6837480164
1	0.6749687195
2	0.6667559814
3	0.660045929
4	0.6534936523
5	0.6475004578
6	0.6415490723
7	0.6354947662
8	0.6295268631
9	0.6242419434
10	0.6187830353
11	0.6138973236
12	0.608290062
13	0.6037240601
14	0.5999221039
15	0.5961487961
16	0.5921556091
17	0.5889333344
18	0.585031662
19	0.5816906738
20	0.5774364471
21	0.5736126328
22	0.5698023224
23	0.5670498657
24	0.5645484161
25	0.562191391
26	0.5602714539
27	0.5579202271
28	0.5551648712
29	0.5523677826
30	0.5507504272
31	0.5482977295
32	0.5461779785
33	0.5439796829
34	0.5420362473
35	0.5390296936
36	0.537803688
37	0.5362103271
38	0.534058609
39	0.5327364731
40	0.5308947754
41	0.5293209839
42	0.5279431915
43	0.5264221954
44	0.525008812
45	0.523355217
46	0.5222021484
47	0.5213021469
48	0.5200015259
49	0.5188980865
50	0.5177997971
51	0.5169285965
52	0.515634613
53	0.5145277023
54	0.5131253433
55	0.5122782898
56	0.5108461761
57	0.510173378
58	0.5086026001
59	0.507516861
60	0.5065565872
61	0.505847168
62	0.5044747925
63	0.5034786987
64	0.5029000092
65	0.5022138977
66	0.5015686798
67	0.5007995605
68	0.4997155762
69	0.4989100266
70	0.4984078598
71	0.497869606
72	0.4967345047
73	0.4960534668
74	0.4948404312
75	0.4940396118
76	0.4927142334
77	0.4921655655
78	0.4913920593
79	0.490627861
80	0.4899167252
81	0.4893099976
82	0.4888736725
83	0.4882634354
84	0.4880081558
85	0.4877349472
86	0.4872138214
87	0.4866935349
88	0.4863038254
89	0.4859901428
90	0.4852403259
91	0.4849029541
92	0.4844989395
93	0.4838586807
94	0.4835163498
95	0.482825737
96	0.4823195648
97	0.4817783356
98	0.4810863495
99	0.4805569458
100	0.4799023056
101	0.4793575287
102	0.4791210175
103	0.4784275818
104	0.4780622482
105	0.4775501251
106	0.476819458
107	0.4763059616
108	0.4759345245
109	0.4754769897
110	0.4749956512
111	0.474656105
112	0.4740444183
113	0.4738143921
114	0.4731370544
115	0.4728617859
116	0.4723316193
117	0.47190979
118	0.4716513824
119	0.4711314392
120	0.4703842926
121	0.4698921967
122	0.4694974518
123	0.4690564346
124	0.4684470749
125	0.4678974533
126	0.4674355316
127	0.4670164108
128	0.4662143707
129	0.4660014343
130	0.4654811096
131	0.4652507401
132	0.4648895264
133	0.4645917511
134	0.4642589188
135	0.4638277435
136	0.4634115601
137	0.4628639221
138	0.4625990677
139	0.4618489075
140	0.4615006638
141	0.4610897827
142	0.4606432343
143	0.460273819
144	0.4600553513
145	0.4594447327
146	0.4591052246
147	0.4587943268
148	0.4584797668
149	0.4582165527
150	0.4578626633
151	0.4576723099
152	0.457326355
153	0.4570164871
154	0.4565824127
155	0.4562189102
156	0.4559857178
157	0.4557444763
158	0.4551355743
159	0.4548786163
160	0.454510498
161	0.4543950653
162	0.4540458679
163	0.4535720062
164	0.453399086
165	0.4529364777
166	0.4523871613
167	0.4519616699
168	0.451688118
169	0.4514337921
170	0.4507315826
171	0.4504160309
172	0.4500544739
173	0.4497979736
174	0.4494768143
175	0.449256134
176	0.4488556671
177	0.4484861755
178	0.4481742859
179	0.4475216675
180	0.4470986176
181	0.4468358231
182	0.4464942169
183	0.4461872482
184	0.4460019684
185	0.445451889
186	0.4451683807
187	0.4448397064
188	0.4443294144
189	0.4440635681
190	0.4437757874
191	0.4434732437
192	0.443168335
193	0.4428456879
194	0.4423413849
195	0.4417520905
196	0.4414461517
197	0.440542984
198	0.4402897263
199	0.4398085022
200	0.4393231201
201	0.4390494919
202	0.4387422562
203	0.4383285141
204	0.4380976868
205	0.4378515244
206	0.4376875305
207	0.4373955536
208	0.4372153473
209	0.4364873505
210	0.4359391785
211	0.4357317352
212	0.4350928497
213	0.4346207428
214	0.4344000626
215	0.434109993
216	0.4335865021
217	0.4330842972
218	0.4328557205
219	0.4326339722
220	0.4323504639
221	0.4321212769
222	0.4318962097
223	0.4316220856
224	0.4309516144
225	0.4302954483
226	0.4297719193
227	0.4291075134
228	0.4284828568
229	0.4279938507
230	0.4276531601
231	0.4273316956
232	0.4268855286
233	0.4266033554
234	0.4263230133
235	0.4259187698
236	0.4256694412
237	0.4252544785
238	0.4247386932
239	0.4241716385
240	0.4239375305
241	0.4236924362
242	0.4231659317
243	0.4227360535
244	0.4224284744
245	0.4215964127
246	0.4212084961
247	0.4208493042
248	0.4205308151
249	0.4202029419
250	0.4199937439
251	0.419553833
252	0.419309082
253	0.4189170837
254	0.4181050873
255	0.4177302933
256	0.4171290588
257	0.4164248276
258	0.4158670044
259	0.4156435013
260	0.4153369141
261	0.4150065613
262	0.4146955109
263	0.4144451904
264	0.4141841888
265	0.4137605286
266	0.4132150269
267	0.4126410294
268	0.4123216629
269	0.4119534683
270	0.4112936401
271	0.4109811401
272	0.4106316376
273	0.4099051285
274	0.40935112
275	0.4090137863
