iter	Passed	Remaining
0	54	54763
1	114	56943
2	174	57880
3	218	54446
4	264	52683
5	311	51679
6	356	50605
7	491	60954
8	906	99824
9	1011	100178
10	1132	101778
11	1217	100252
12	1302	98897
13	1384	97539
14	1457	95733
15	1539	94688
16	1621	93738
17	1704	93012
18	1778	91815
19	1857	91008
20	1939	90430
21	2075	92279
22	2415	102608
23	2501	101719
24	2579	100601
25	2653	99392
26	2732	98471
27	2812	97617
28	2894	96916
29	2975	96216
30	3058	95601
31	3202	96875
32	3291	96442
33	3376	95936
34	3461	95447
35	3543	94892
36	3620	94240
37	3700	93691
38	3786	93293
39	3844	92257
40	3902	91290
41	3946	90016
42	3991	88836
43	4042	87821
44	4089	86792
45	4133	85732
46	4180	84768
47	4267	84630
48	4342	84282
49	4411	83825
50	4465	83091
51	4567	83268
52	4620	82564
53	4675	81913
54	4734	81339
55	4783	80635
56	4854	80307
57	4898	79557
58	4936	78739
59	4975	77948
60	5019	77265
61	5066	76655
62	5105	75939
63	5158	75447
64	5195	74731
65	5235	74090
66	5317	74045
67	5364	73521
68	5402	72890
69	5458	72516
70	5504	72022
71	5542	71435
72	5636	71581
73	5693	71239
74	5742	70830
75	5781	70293
76	5820	69774
77	5868	69364
78	5905	68848
79	5943	68345
80	5988	67939
81	6025	67457
82	6064	67000
83	6113	66667
84	6151	66215
85	6208	65984
86	6248	65572
87	6289	65182
88	6377	65281
89	6429	65010
90	6488	64812
91	6531	64463
92	6578	64162
93	6622	63832
94	6668	63524
95	6708	63171
96	6762	62950
97	6806	62646
98	6852	62364
99	6913	62219
100	6953	61895
101	7005	61674
102	7047	61374
103	7100	61170
104	7144	60896
105	7189	60633
106	7236	60391
107	7281	60138
108	7319	59831
109	7359	59543
110	7450	59667
111	7495	59430
112	7546	59233
113	7589	58984
114	7634	58750
115	7681	58541
116	7721	58271
117	7776	58124
118	7824	57924
119	7867	57692
120	7926	57583
121	7974	57392
122	8019	57181
123	8061	56948
124	8114	56803
125	8156	56580
126	8205	56402
127	8252	56220
128	8298	56034
129	8342	55831
130	8383	55614
131	8422	55385
132	8511	55484
133	8559	55317
134	8605	55140
135	8651	54959
136	8695	54774
137	8741	54599
138	8778	54376
139	8817	54163
140	8854	53941
141	8891	53726
142	8997	53922
143	9063	53876
144	9103	53682
145	9169	53638
146	9218	53491
147	9256	53287
148	9294	53086
149	9332	52884
150	9368	52677
151	9416	52534
152	9463	52392
153	9669	53121
154	9714	52960
155	9755	52778
156	9796	52602
157	9854	52518
158	9908	52407
159	9946	52219
160	9986	52040
161	10024	51857
162	10075	51738
163	10121	51596
164	10158	51407
165	10196	51228
166	10244	51101
167	10292	50971
168	10329	50792
169	10367	50617
170	10405	50446
171	10444	50280
172	10481	50104
173	10517	49930
174	10567	49819
175	10614	49693
176	10652	49532
177	10734	49572
178	10789	49486
179	10831	49343
180	10879	49226
181	10922	49091
182	10968	48968
183	11012	48837
184	11058	48719
185	11104	48596
186	11141	48439
187	11179	48284
