iter	Logloss
0	0.6853058624
1	0.6778466797
2	0.6697711182
3	0.6623592377
4	0.6552388
5	0.6468304443
6	0.6397420502
7	0.6336758423
8	0.6284882736
9	0.6229330826
10	0.6180217361
11	0.6135580063
12	0.6092073822
13	0.6049033356
14	0.6011822128
15	0.5970782089
16	0.5926730347
17	0.5871731567
18	0.5830657578
19	0.5799892044
20	0.5771605682
21	0.5743334198
22	0.5701990128
23	0.5671933746
24	0.5648715973
25	0.5623851395
26	0.5596411133
27	0.5574012756
28	0.5540186691
29	0.5525585938
30	0.5510098648
31	0.5491817474
32	0.5476074219
33	0.5457291031
34	0.5435450745
35	0.5415899658
36	0.5404056549
37	0.5391175461
38	0.5377357483
39	0.5363030243
40	0.535051651
41	0.53414814
42	0.5331669235
43	0.5320362091
44	0.5307833481
45	0.5293413544
46	0.5284713745
47	0.5275464249
48	0.5260979843
49	0.5251277161
50	0.5238104248
51	0.5226515961
52	0.5212205505
53	0.5200875092
54	0.5189321899
55	0.5181960297
56	0.5173361969
57	0.5161981201
58	0.5155725098
59	0.5147200775
60	0.5137867355
61	0.5129064178
62	0.5120789719
63	0.5115062332
64	0.5107974243
65	0.5100992203
66	0.509130249
67	0.5084815216
68	0.5076678467
69	0.5070632935
70	0.5060062408
71	0.5049124146
72	0.5041591263
73	0.5033695221
74	0.5026805115
75	0.5019353104
76	0.5013425064
77	0.5007029724
78	0.5003044891
79	0.499709053
80	0.499365654
81	0.4987113953
82	0.4980437469
83	0.4973806
84	0.4968113708
85	0.4961637878
86	0.4955341339
87	0.4950187302
88	0.4942464828
89	0.4933757782
90	0.4929392624
91	0.4924176788
92	0.4919709778
93	0.4910656738
94	0.4903126144
95	0.4898912048
96	0.4895843124
97	0.48932724
98	0.4890455246
99	0.4883937073
100	0.4877793121
101	0.4872511292
102	0.4863967896
103	0.4860196304
104	0.4856976318
105	0.4852397919
106	0.4848229599
107	0.4842318344
108	0.4837541962
109	0.4833256912
110	0.4830168533
111	0.4825538635
112	0.4822903442
113	0.482033844
114	0.4814599609
115	0.4811561584
116	0.4805337524
117	0.480209465
118	0.4796300507
119	0.4791890335
120	0.4787406921
121	0.4784300232
122	0.4780391693
123	0.4773596954
124	0.4769256973
125	0.4764833069
126	0.4761473083
127	0.4756658173
128	0.4752433395
129	0.4749324036
130	0.4746714783
131	0.4743910217
132	0.4736278534
133	0.4731487274
134	0.4727536774
135	0.472249794
136	0.47186203
137	0.4714212799
138	0.4711340332
139	0.4707216644
140	0.4702406311
141	0.4698995972
142	0.4690493011
143	0.4684348297
144	0.4678536606
145	0.4676099777
146	0.4672525787
147	0.4669821548
148	0.4666313934
149	0.466204834
150	0.4658631134
151	0.4655261993
152	0.4651993942
153	0.4648868942
154	0.4644726944
155	0.4640158844
156	0.4635084915
157	0.4630127335
158	0.4624621582
159	0.4620901871
160	0.4618342209
161	0.4615571976
162	0.4612670898
163	0.4609853363
164	0.4605568314
165	0.4602688217
166	0.4599559402
167	0.4595031738
168	0.4589087296
169	0.4585947418
170	0.4583129883
171	0.4580400085
172	0.4577325058
173	0.4572525787
174	0.4566742325
175	0.4564282227
176	0.4562278748
177	0.4557740402
178	0.4554745865
179	0.4552355957
180	0.454466095
181	0.454127655
182	0.4536048126
183	0.4531689453
184	0.4528704453
185	0.4524246979
186	0.4521508789
187	0.4516986847
188	0.4514126587
189	0.4510718155
190	0.4504544067
191	0.4498471069
192	0.4493391418
193	0.448950882
194	0.4484224701
195	0.4480908966
196	0.4476669312
197	0.4472029114
198	0.4468518066
199	0.4463553238
200	0.4459364319
201	0.4452365494
202	0.4448006821
203	0.4444126892
204	0.4440800095
205	0.443559494
206	0.4432624817
207	0.4428139496
208	0.4424398804
209	0.4421617889
210	0.44190979
211	0.4414631271
212	0.4410884857
213	0.4408098221
214	0.4405807114
215	0.4399432373
216	0.4396603775
217	0.4392686081
218	0.4390723801
219	0.4386229706
220	0.4383317947
221	0.4380251694
222	0.4374554825
223	0.4369644547
224	0.4366317368
225	0.4362275696
226	0.4358940887
227	0.4356494904
228	0.4353025818
229	0.4350113678
230	0.434568634
231	0.4340884781
232	0.4338233185
233	0.4336048889
234	0.4333016968
235	0.4329855347
236	0.4325136185
237	0.4322099686
238	0.4318503952
239	0.4315507507
240	0.4310276794
241	0.4306649017
242	0.4300805664
243	0.429813385
244	0.4293018341
245	0.4290341187
246	0.4284963989
247	0.427664032
248	0.4272526169
249	0.4268507767
250	0.4263787842
251	0.4259466934
252	0.4254187012
253	0.4249346161
254	0.4246363068
255	0.4244563675
256	0.4242234802
257	0.4235743713
258	0.423135376
259	0.4227219391
260	0.4222576141
261	0.4216347504
262	0.4212298584
263	0.4208869171
264	0.4204216766
265	0.4201366806
266	0.4195672989
267	0.4192985535
268	0.4190292358
269	0.4186551285
270	0.4183643341
271	0.4177347946
272	0.4172330475
273	0.416608429
274	0.4163195801
275	0.4158683014
276	0.4154110336
277	0.4145696259
278	0.4140548325
279	0.413355751
280	0.4128128815
281	0.4118957901
282	0.4106291962
283	0.4101777649
284	0.4097426224
285	0.4090570831
286	0.4081481552
287	0.4074143219
288	0.4066073608
289	0.4061713409
290	0.4050720978
291	0.4047699738
292	0.4044333649
293	0.4042223358
294	0.4039538193
295	0.4033560944
296	0.4026115036
297	0.4021817398
298	0.4015855026
299	0.4009316635
300	0.4006802368
301	0.4003971481
302	0.4000950623
303	0.3995745087
304	0.399269104
305	0.3990329361
306	0.3983901978
307	0.3980853271
308	0.3977639008
309	0.3974117279
310	0.3967007446
311	0.3961047363
312	0.3958078003
313	0.3955376053
314	0.3952829361
315	0.3947714233
316	0.3945140839
317	0.3939733887
318	0.3936913681
319	0.3931433868
320	0.3928754425
321	0.3921287537
322	0.3917557526
323	0.3911770248
324	0.3901174545
325	0.3893485641
326	0.388802948
327	0.3884950638
328	0.3882684708
329	0.388057785
330	0.3877581024
331	0.3874435043
332	0.3872278976
333	0.386476326
334	0.3862399673
335	0.3857012939
336	0.3854405212
337	0.3852610779
338	0.3849762344
339	0.3847657394
340	0.3845350647
341	0.3835987473
342	0.3828442001
343	0.3825503159
344	0.3818878174
345	0.3814886093
346	0.3812981415
347	0.380898056
348	0.3804327011
349	0.3802729034
350	0.379727478
351	0.3794813538
352	0.3789054108
353	0.3786772156
354	0.3782084656
355	0.3775854111
356	0.3774816895
357	0.3766752243
358	0.3763838959
359	0.3762410355
360	0.376020813
361	0.3752969742
362	0.3747704697
363	0.3740670013
364	0.3737570953
365	0.3735018158
366	0.3733733749
367	0.3729298401
368	0.3726561356
369	0.3724415207
370	0.3716807556
371	0.371514473
372	0.3713638687
373	0.3706163788
374	0.3704770279
375	0.3702761459
376	0.3700912094
377	0.3699353409
378	0.3696963882
379	0.3693713379
380	0.369128418
381	0.3684897614
382	0.3683383942
383	0.368139801
384	0.367279892
385	0.367148056
386	0.3670307541
387	0.3669039917
388	0.3667014313
389	0.3665104675
390	0.3659165192
391	0.3654022217
392	0.3651595306
393	0.3649419403
394	0.364863205
395	0.3647463226
396	0.3642594147
397	0.363663559
398	0.3635783005
399	0.3632922745
400	0.362728653
401	0.3615497971
402	0.3609921646
403	0.3608237457
404	0.3602669525
405	0.3599414062
406	0.3592500305
407	0.3587163162
408	0.3580441666
409	0.3579920197
410	0.3578233337
411	0.3576667786
412	0.3575169373
413	0.3573641968
414	0.3569935608
415	0.356189537
416	0.3560737991
417	0.355872879
418	0.3557590485
419	0.3554234314
420	0.3553125763
421	0.3551076126
422	0.3549205017
423	0.3544403458
424	0.3543489838
425	0.3538212585
426	0.3536287308
427	0.3534674835
428	0.3528142548
429	0.3527483749
430	0.3522296906
431	0.3519532394
432	0.3513948059
433	0.3511946106
434	0.3505957031
435	0.3504855347
436	0.3503330612
437	0.3501092148
438	0.3495381165
439	0.3489794922
440	0.3488704681
441	0.3488050079
442	0.3483102798
443	0.3477836609
444	0.3476321411
445	0.347111969
446	0.3467062759
447	0.3465237427
448	0.3460113525
449	0.3458854294
450	0.3456982422
451	0.3449629974
452	0.3448198318
453	0.3445612335
454	0.344377861
455	0.344067421
456	0.3439756393
457	0.3439095306
458	0.3437180328
459	0.3430867004
460	0.3429890823
461	0.3428989029
462	0.3420787048
463	0.3419155884
464	0.341596756
465	0.3413523865
466	0.3408907318
467	0.3407624435
468	0.3403229523
469	0.3397939301
470	0.3397249603
471	0.3388381195
472	0.3386810303
473	0.3384987259
474	0.3383638763
475	0.3382128143
476	0.3380496597
477	0.3373789215
478	0.3367403412
479	0.3363659286
480	0.3356996155
481	0.3352206802
482	0.3345770264
483	0.3340076065
484	0.3338829422
485	0.333713913
486	0.3333659363
487	0.3332137299
488	0.3331097031
489	0.3326261139
490	0.3325525665
491	0.3323653412
492	0.3323122025
493	0.3322143173
494	0.3317700195
495	0.3314395905
496	0.3313589478
497	0.3307836914
498	0.3306341934
499	0.3305597687
500	0.3304530334
501	0.3303543472
502	0.3299822617
503	0.3299285126
504	0.3295454407
505	0.3287657928
506	0.3283394241
507	0.328266716
508	0.3280813217
509	0.3275315094
510	0.3271201324
511	0.3263246155
512	0.3260598373
513	0.3258641815
514	0.3257691956
515	0.325266037
516	0.3252043533
517	0.3250302887
518	0.3247718811
519	0.3244722748
520	0.324189949
521	0.3241030884
522	0.3239165115
523	0.3237944412
524	0.3232238007
525	0.323151474
526	0.3229530334
527	0.3227371597
528	0.3225414658
